,Name,Global_Sales,NA_Sales,JP_Sales,Other_Sales,Critic_Score,Critic_Count,User_Score,User_Count,index,Year_of_Release,Genre,Publisher,Developer,Rating
6597,Wii Sports,82.53,41.36,3.77,8.45,76.0,51.0,8.0,322.0,0,2006.0,Sports,Nintendo,Nintendo,E
2221,Grand Theft Auto V,56.57000000000001,23.84,1.42,7.8999999999999995,96.8,245.0,8.08,15124.0,16,2013.0,Action,Take-Two Interactive,Rockstar North,M
2225,Grand Theft Auto V,56.57000000000001,23.84,1.42,7.8999999999999995,96.8,245.0,8.08,15124.0,1730,2015.0,Action,Take-Two Interactive,Rockstar North,M
2224,Grand Theft Auto V,56.57000000000001,23.84,1.42,7.8999999999999995,96.8,245.0,8.08,15124.0,165,2014.0,Action,Take-Two Interactive,Rockstar North,M
2223,Grand Theft Auto V,56.57000000000001,23.84,1.42,7.8999999999999995,96.8,245.0,8.08,15124.0,42,2014.0,Action,Take-Two Interactive,Rockstar North,M
2222,Grand Theft Auto V,56.57000000000001,23.84,1.42,7.8999999999999995,96.8,245.0,8.08,15124.0,23,2013.0,Action,Take-Two Interactive,Rockstar North,M
3217,Mario Kart Wii,35.52,15.68,3.79,3.29,82.0,73.0,8.3,709.0,2,2008.0,Racing,Nintendo,Nintendo,E
6599,Wii Sports Resort,32.77,15.61,3.28,2.95,80.0,73.0,8.0,192.0,3,2009.0,Sports,Nintendo,Nintendo,E
751,Call of Duty: Modern Warfare 3,30.59,15.54,0.62,3.29,81.0,162.0,2.725,20053.0,37,2011.0,Shooter,Activision,"Infinity Ward, Sledgehammer Games",M
750,Call of Duty: Modern Warfare 3,30.59,15.54,0.62,3.29,81.0,162.0,2.725,20053.0,29,2011.0,Shooter,Activision,"Infinity Ward, Sledgehammer Games",M
752,Call of Duty: Modern Warfare 3,30.59,15.54,0.62,3.29,81.0,162.0,2.725,20053.0,1040,2011.0,Shooter,Activision,"Infinity Ward, Sledgehammer Games",M
753,Call of Duty: Modern Warfare 3,30.59,15.54,0.62,3.29,81.0,162.0,2.725,20053.0,2500,2011.0,Shooter,Activision,"Treyarch, Sledgehammer Games",M
4021,New Super Mario Bros.,29.8,11.28,6.5,2.88,89.0,65.0,8.5,431.0,6,2006.0,Platform,Nintendo,Nintendo,E
735,Call of Duty: Black Ops II,29.400000000000002,14.08,0.72,3.76,80.25,136.0,5.300000000000001,5041.0,4706,2012.0,Shooter,Activision,Treyarch,M
734,Call of Duty: Black Ops II,29.400000000000002,14.08,0.72,3.76,80.25,136.0,5.300000000000001,5041.0,1227,2012.0,Shooter,Activision,Treyarch,M
733,Call of Duty: Black Ops II,29.400000000000002,14.08,0.72,3.76,80.25,136.0,5.300000000000001,5041.0,35,2012.0,Shooter,Activision,Treyarch,M
